Date;ProductKey;RegionKey;Amount
2025-10-01;1;1;1854196,26
2025-10-01;1;2;1297937,38
2025-10-01;1;3;927098,13
2025-10-01;1;4;556258,88
2025-11-01;1;1;1887908,92
2025-11-01;1;2;1321536,24
2025-11-01;1;3;943954,46
2025-11-01;1;4;566372,68
2025-12-01;1;1;1938477,91
2025-12-01;1;2;1356934,53
2025-12-01;1;3;969238,95
2025-12-01;1;4;581543,37
2025-10-01;2;1;1349542,01
2025-10-01;2;2;944679,41
2025-10-01;2;3;674771,00
2025-10-01;2;4;404862,60
2025-11-01;2;1;1374079,14
2025-11-01;2;2;961855,40
2025-11-01;2;3;687039,57
2025-11-01;2;4;412223,74
2025-12-01;2;1;1410884,83
2025-12-01;2;2;987619,38
2025-12-01;2;3;705442,41
2025-12-01;2;4;423265,45
2025-10-01;3;1;1059781,40
2025-10-01;3;2;741846,98
2025-10-01;3;3;529890,70
2025-10-01;3;4;317934,42
2025-11-01;3;1;1079050,15
2025-11-01;3;2;755335,11
2025-11-01;3;3;539525,08
2025-11-01;3;4;323715,05
2025-12-01;3;1;1107953,28
2025-12-01;3;2;775567,30
2025-12-01;3;3;553976,64
2025-12-01;3;4;332385,98
2025-10-01;4;1;727131,41
2025-10-01;4;2;508991,98
2025-10-01;4;3;363565,70
2025-10-01;4;4;218139,42
2025-11-01;4;1;740351,98
2025-11-01;4;2;518246,38
2025-11-01;4;3;370175,99
2025-11-01;4;4;222105,59
2025-12-01;4;1;760182,83
2025-12-01;4;2;532127,98
2025-12-01;4;3;380091,42
2025-12-01;4;4;228054,85
2025-10-01;5;1;415923,78
2025-10-01;5;2;291146,65
2025-10-01;5;3;207961,89
2025-10-01;5;4;124777,14
2025-11-01;5;1;423486,03
2025-11-01;5;2;296440,22
2025-11-01;5;3;211743,02
2025-11-01;5;4;127045,81
2025-12-01;5;1;434829,41
2025-12-01;5;2;304380,59
2025-12-01;5;3;217414,71
2025-12-01;5;4;130448,82
